name|description|table_name|ucd|unit|data_type
cnfw_subhalo|NFW concentration parameter of subhalo|WavesDeepGals|phys.density|None|float32
coline_flux_int_1|integrated CO(1-0) line flux|WavesDeepGals|phot.flux.density;em.line.CO|W/m^2|float32
coline_flux_int_10|integrated CO(10-9) line flux|WavesDeepGals|phot.flux.density;em.line.CO|W/m^2|float32
coline_flux_int_2|integrated CO(2-1) line flux|WavesDeepGals|phot.flux.density;em.line.CO|W/m^2|float32
coline_flux_int_3|integrated CO(3-2) line flux|WavesDeepGals|phot.flux.density;em.line.CO|W/m^2|float32
coline_flux_int_4|integrated CO(4-3) line flux|WavesDeepGals|phot.flux.density;em.line.CO|W/m^2|float32
coline_flux_int_5|integrated CO(5-4) line flux|WavesDeepGals|phot.flux.density;em.line.CO|W/m^2|float32
coline_flux_int_6|integrated CO(6-5) line flux|WavesDeepGals|phot.flux.density;em.line.CO|W/m^2|float32
coline_flux_int_7|integrated CO(7-6) line flux|WavesDeepGals|phot.flux.density;em.line.CO|W/m^2|float32
coline_flux_int_8|integrated CO(8-7) line flux|WavesDeepGals|phot.flux.density;em.line.CO|W/m^2|float32
coline_flux_int_9|integrated CO(9-8) line flux|WavesDeepGals|phot.flux.density;em.line.CO|W/m^2|float32
coline_flux_int_vel_1|velocity-integrated CO(1-0) line flux|WavesDeepGals|phot.flux.density;em.line.CO;spect.line.intensity|Jy km/s|float32
coline_flux_int_vel_10|velocity-integrated CO(10-9) line flux|WavesDeepGals|phot.flux.density;em.line.CO;spect.line.intensity|Jy km/s|float32
coline_flux_int_vel_2|velocity-integrated CO(2-1) line flux|WavesDeepGals|phot.flux.density;em.line.CO;spect.line.intensity|Jy km/s|float32
coline_flux_int_vel_3|velocity-integrated CO(3-2) line flux|WavesDeepGals|phot.flux.density;em.line.CO;spect.line.intensity|Jy km/s|float32
coline_flux_int_vel_4|velocity-integrated CO(4-3) line flux|WavesDeepGals|phot.flux.density;em.line.CO;spect.line.intensity|Jy km/s|float32
coline_flux_int_vel_5|velocity-integrated CO(5-4) line flux|WavesDeepGals|phot.flux.density;em.line.CO;spect.line.intensity|Jy km/s|float32
coline_flux_int_vel_6|velocity-integrated CO(6-5) line flux|WavesDeepGals|phot.flux.density;em.line.CO;spect.line.intensity|Jy km/s|float32
coline_flux_int_vel_7|velocity-integrated CO(7-6) line flux|WavesDeepGals|phot.flux.density;em.line.CO;spect.line.intensity|Jy km/s|float32
coline_flux_int_vel_8|velocity-integrated CO(8-7) line flux|WavesDeepGals|phot.flux.density;em.line.CO;spect.line.intensity|Jy km/s|float32
